"Име на продукт",Наличност,"Стара цена",Цена,Стойност
"Калъф за Еърсофт оръжие 100 см (Army Green)",2,33.18,33.18,66.36
"Калъф за Еърсофт оръжие  100 см (Черен)",2,33.18,33.18,66.36
"Предпазна маска за лице  за Еърсофт (Black)",6,10.17,10.17,61.02
"Предпазна маска за лице за Еърсофт(Grey)",0,10.17,10.17,0
"Лека тактическа жилетка (Army Green)",3,25.51,25.51,76.53
"Едноточков ремък (Black)",2,8.64,8.64,17.28
"Едноточков ремък (Army Green)",4,8.64,8.64,34.56
"Двуточков ремък (Coyote)",4,10.17,10.17,40.68
"Пълнител за M4 Mid-Cap (Черeн)",0,9.15,9.15,0
"Пълнител за M4 Mid-Cap (Tan)",0,9.15,9.15,0
"Топчета за Еърсофт 0.25г - 1 кг.",5,12.22,12.22,61.1
"Топчета за Еърсофт 0.28г - 1 кг",5,14.31,14.31,71.55
"Тактическа компактна дръжка (Черна)",0,9.66,9.66,0
"Дръжка за звукова граната THUNDER B SONIC",3,30.67,30.67,92.01
"Газова бутилка (CO2)",0,0.76,0.76,0
"Чантичка за граната (Black)",2,6.64,6.64,13.28
"Чантичка за граната (Green)",5,6.64,6.64,33.2
"Чантичка за граната (ACU)",3,6.64,6.64,19.92
"Чантичка за граната (Coyote)",3,6.64,6.64,19.92
"Чантичка за граната (Tan Camo)",0,6.08,6.08,0
"Ръкавици с пръсти (тан)",0,12.22,12.22,0
"Ръкавици с пръсти (черни)",0,12.22,12.22,0
"Ръкавици с пръсти (зелени)",0,12.22,12.22,0
"Монтажна планка с халка /черна/",2,5.11,5.11,10.22
"Монтажна планка","не се следи",3.53,3.53,"не се следи"
"Антабка/скоба за ремък/ с пуш бутон",16,5.11,5.11,81.76
"Тактически колан Cordura(Foliage Green)",0,28.07,28.07,0
"Тактически колан Cordura (Multicam)",0,28.07,28.07,0
"Едноточков ремък (Coyote)",3,8.64,8.64,25.92
"Комплект &quot;Start 1&quot; на звукова граната THUNDER B SONIC ",3,35.27,35.27,105.81
"Обвивка тип &quot;Лимонка&quot; за звукова граната THUNDER B SONIC",21,2.04,2.04,42.84
"Комплект 12 броя обвивки тип &quot;Лимонка&quot; за звукова граната THUNDER B SONIC ","не се следи",22.45,22.45,"не се следи"
"Комплект 12 броя обвивки тип &quot;Цилиндър&quot; за звукова граната THUNDER B SONIC ","не се следи",25.00,25.00,"не се следи"
"Обвивка тип &quot;Dumbbell&quot; за звукова граната THUNDER B SONIC ",11,2.30,2.04,22.44
"Лека тактическа жилетка (Coyote)",2,25.51,25.51,51.02
"Лека тактическа жилетка (Multicam)",1,25.51,25.51,25.51
"Двуточков ремък (Army Green)",4,10.17,10.17,40.68
"Двуточков ремък (Black)",4,10.17,10.17,40.68
"Силиконова смазка 60 ML",2,6.60,6.60,13.2
"Тактическа раница 15 л. (Green) ",0,33.18,33.18,0
"Тактическа раница 15 л. (Black) ",2,33.18,33.18,66.36
"Тактическа раница 15 л. (Multicam Tropic) ",0,33.18,33.18,0
"Тактически карабинер PVC - 3 броя (Foliage Green)",0,4.55,4.55,0
"Тактически карабинер PVC - 3 броя (Dark Earth)",0,4.55,4.55,0
"Тактически карабинер PVC - 3 броя (Black)",0,4.55,4.55,0
"Тактическа жилетка BUCKLE UP (Coyote)",0,33.18,33.18,0
"Тактическа жилетка BUCKLE UP (Multicam)",0,34.72,34.72,0
"Панел BUCKLE UP за АК47/АКМ (Coyote)",0,10.17,10.17,0
"Панел BUCKLE UP за АК47/АКМ (Multicam)",0,10.17,10.17,0
"Панел BUCKLE UP  Combo 5+2 за АК (Multicam)",2,18.87,18.87,37.74
"Панел BUCKLE UP  Combo 5+2 за АК (Coyote)",0,18.87,18.87,0
"Каска за Еърсофт - SPEC-OPS MICH (Green)",2,35.74,35.74,71.48
"Каска за Еърсофт - Fast Ballistic Replica (L/XL)(Dark Earth)",2,30.63,30.63,61.26
"Тактически ластици - 12 броя(Dark Earth)",3,4.60,4.60,13.8
